transaction_id,contract_id,client_id,transaction_date,payment_amt,payment_code
20175,927,1,1527012511,66.66,PAYMENT
8485,927,1,1511716095,66.66,PAYMENT
13778,927,1,1519319303,66.66,PAYMENT
22768,927,1,1529863724,66.66,PAYMENT
15698,927,1,1521738504,66.66,PAYMENT
25167,927,1,1532282887,416.67,PAYMENT
8322,927,1,1511370496,5050.04,PAYMENT
8484,927,1,1511716095,466.67,PAYMENT
17649,927,1,1524420511,416.67,PAYMENT
8323,927,1,1511370496,50,PAYMENT
17650,927,1,1524420511,66.66,PAYMENT
20174,927,1,1527012511,416.67,PAYMENT
13777,927,1,1519319303,416.67,PAYMENT
15697,927,1,1521738504,416.67,PAYMENT
25168,927,1,1532282887,66.66,PAYMENT
10126,927,1,1513876102,66.66,PAYMENT
10125,927,1,1513876102,416.67,PAYMENT
22767,927,1,1529863724,416.67,PAYMENT
20288,1368,2,1527098912,1716.67,PAYMENT
19822,1368,2,1526839710,20050.04,PAYMENT
22569,1368,2,1529518126,1666.67,PAYMENT
22570,1368,2,1529518126,266.66,PAYMENT
25301,1368,2,1532282891,1666.67,PAYMENT
25302,1368,2,1532282891,266.66,PAYMENT
19823,1368,2,1526839710,50,PAYMENT
20289,1368,2,1527098912,266.66,PAYMENT
346,27,3,1499364490,500,PAYMENT
11886,929,3,1516727300,26.66,PAYMENT
347,27,3,1499364490,65,PAYMENT
20240,929,3,1527098911,166.67,PAYMENT
20241,929,3,1527098911,26.66,PAYMENT
15767,929,3,1521997707,166.67,PAYMENT
11885,929,3,1516727300,166.67,PAYMENT
17840,929,3,1524506908,26.66,PAYMENT
13836,929,3,1519578502,26.66,PAYMENT
8382,929,3,1511456895,50,PAYMENT
8381,929,3,1511456895,2050.04,PAYMENT
8453,929,3,1511716094,26.66,PAYMENT
10095,929,3,1513876101,26.66,PAYMENT
8452,929,3,1511716094,216.67,PAYMENT
13835,929,3,1519578502,166.67,PAYMENT
10094,929,3,1513876101,166.67,PAYMENT
15768,929,3,1521997707,26.66,PAYMENT
22750,929,3,1529863724,26.66,PAYMENT
17839,929,3,1524506908,166.67,PAYMENT
22749,929,3,1529863724,166.67,PAYMENT
10205,796,4,1514308095,53.33,PAYMENT
17974,796,4,1524679710,53.33,PAYMENT
5051,796,4,1506362891,50,PAYMENT
10204,796,4,1514308095,333.33,PAYMENT
8456,796,4,1511716094,333.33,PAYMENT
6708,796,4,1508951294,333.33,PAYMENT
11951,796,4,1516813701,333.33,PAYMENT
17973,796,4,1524679710,333.33,PAYMENT
8457,796,4,1511716094,53.33,PAYMENT
6709,796,4,1508951294,53.33,PAYMENT
13845,796,4,1519578502,333.33,PAYMENT
11952,796,4,1516813701,53.33,PAYMENT
20418,796,4,1527444512,53.33,PAYMENT
15775,796,4,1521997707,333.33,PAYMENT
15776,796,4,1521997707,53.33,PAYMENT
5232,796,4,1506622090,53.33,PAYMENT
5231,796,4,1506622090,383.33,PAYMENT
22942,796,4,1529950124,53.33,PAYMENT
13846,796,4,1519578502,53.33,PAYMENT
20417,796,4,1527444512,333.33,PAYMENT
22941,796,4,1529950124,333.33,PAYMENT
5050,796,4,1506362890,4049.96,PAYMENT
67,543,5,1499018883,416.67,PAYMENT
68,543,5,1499018883,66.66,PAYMENT
3105,543,5,1503338953,495,PAYMENT
3106,543,5,1503338953,3750.03,PAYMENT
1943,543,5,1501610926,416.67,PAYMENT
1944,543,5,1501610926,66.66,PAYMENT
24388,1596,6,1531418957,50,PAYMENT
8336,521,6,1511370496,416.67,PAYMENT
24579,1596,6,1531678161,883.33,PAYMENT
8337,521,6,1511370496,66.66,PAYMENT
24387,1596,6,1531418957,10049.96,PAYMENT
17627,521,6,1524420511,416.67,PAYMENT
24580,1596,6,1531678161,133.33,PAYMENT
17628,521,6,1524420511,66.66,PAYMENT
15692,521,6,1521738504,66.66,PAYMENT
15691,521,6,1521738504,416.67,PAYMENT
4931,521,6,1506276490,416.67,PAYMENT
4932,521,6,1506276490,66.66,PAYMENT
10115,521,6,1513876101,416.67,PAYMENT
10116,521,6,1513876101,66.66,PAYMENT
1340,521,6,1500833312,416.67,PAYMENT
1341,521,6,1500833312,66.66,PAYMENT
3202,521,6,1503425355,416.67,PAYMENT
3203,521,6,1503425355,66.66,PAYMENT
6456,521,6,1508692094,416.67,PAYMENT
6457,521,6,1508692094,66.66,PAYMENT
13769,521,6,1519319303,416.67,PAYMENT
13770,521,6,1519319303,66.66,PAYMENT
9648,836,7,1513530498,66.66,PAYMENT
13366,836,7,1518973703,416.67,PAYMENT
15231,836,7,1521392903,50,DEFAULT
17934,836,7,1524506910,3333.35,PAYMENT
14979,836,7,1520960902,66.66,DEFAULT
15128,836,7,1521047307,50,PAYMENT
14162,836,7,1519837702,66.66,DEFAULT
9647,836,7,1513530498,416.67,PAYMENT
7940,836,7,1510852097,66.66,PAYMENT
14794,836,7,1520788104,66.66,PAYMENT
13998,836,7,1519664902,66.66,PAYMENT
13997,836,7,1519664902,416.67,PAYMENT
14793,836,7,1520788104,416.67,PAYMENT
